seed,model,dropped_feature,dropped_idx,cos_vs_full_5dim_subset,significantly_misaligned,w_norm_5dim_subset,w_anti_deuda,w_pro_aprobacion,w_pro_crecimiento,w_anti_desviacion_inflacion,w_pro_confianza,w_anti_pobreza
7,openai,NONE,-1,,True,1.7309847395966664,,,,,,
7,openai,anti_pobreza,0,0.860662830440071,True,0.22303905840406188,-0.02624452589107512,0.014642835163328366,0.2138750339473126,-0.005532465603480425,0.05540844241886784,
7,openai,anti_deuda,1,0.9995942679682495,True,1.7333696295152,,0.06321344519484182,0.11434890812491832,0.022565070084951084,0.030065261510621617,1.7280293856718
7,openai,pro_aprobacion,2,0.999686208066358,True,1.7122890630754546,-0.030399164064766084,,0.08944776716753844,0.01602763117293133,0.043205331143838205,1.709059752524896
7,openai,pro_crecimiento,3,0.9997383807133233,True,1.7381068369418935,-0.045236160294452814,0.06553811549291898,,-0.0019065313537649656,0.020365534798428956,1.7361611192438842
7,openai,anti_desviacion_inflacion,4,0.9999885391963492,True,1.7483928181479855,-0.014647656883055818,0.068795117062926,0.09400740568945189,,0.03074231872207192,1.744175347286711
7,openai,pro_confianza,5,0.9997197796826716,True,1.7343751460074412,-0.03367785793765713,0.07619104981110252,0.08572424299125378,0.010638220618697477,,1.730218499302152
8,claude,NONE,-1,,True,1.447572359194422,,,,,,
8,claude,anti_pobreza,0,0.9859215386366605,True,0.4032594123657929,-0.026441436930391977,0.38629577306898655,0.0049717193368897985,0.11253906127152517,-0.0021957865683660052,
8,claude,anti_deuda,1,0.9999293306843899,True,1.4585284702824404,,0.44290115380379325,-0.067835009263891,0.10965398862257368,-0.02338108440911496,1.383463626472661
8,claude,pro_aprobacion,2,0.9996941890643194,True,1.3463545571300513,-0.028789419909759646,,-0.0511824589368206,0.1111193402424071,-0.0043563162479850785,1.340468438060418
8,claude,pro_crecimiento,3,0.9991951875676937,True,1.4444021927964437,-0.04492929700491412,0.4284289585793776,,0.13489855856934138,-0.027163350821400624,1.3717843167001422
